#size  area        growth   startatoms  endatoms    events    cycles  workers_mean  workers_max  starttime   endtime     runtime_s   runtime_h      t/c     t*w/e  xyzsize   mean_coverage  max_coverage  RAM(kB)
106    11236       69.8156  13519       59549       46030     100     1.8           4            1408019820  1408135860  116041.764  32.2338233333  1600    10.08  157636    0.219313       0.487362      254048
204    41616       41.8383  50000       152374      102374    101     14.5          18           1400597040  1400688720  91680       25.4666666667  916.8   16.12  374800    0.476992       0.592128      257376
204    41616       /        50000       /           /         /       /             /            1413999192  /           /           /              /       /      /         /              /             /
500    250000      93.223   307519      1708600     1401081   100     24.8          50           1412152680  1412417580  264900      73.5833333333  264.9   9.453  3739056   0.135805       0.2738        397449
1000   1000000     5.4183   1210320     1591908     381588    24      44.8          46           1400686560  1400691900  5340        1.48333333333  222.5   0.644  1213184   0.0613312      0.062974      367748
1000   1000000     ?        1210320     6733948     5539942   100     75.4          149          1413993305  1414344451  351146      97.5405555555  3511.46 ?      14742972  0.1032226      0.203981      /
10000  100000000   1.3      120246080   128433070   8186990   8       25.4          46           1400686620  1401109440  422820      117.45         52852   2.376  37562804  0.000347726    0.00062974    11528524
20000  400000000   0.4      480592080   490948111   10356031  3       26.3          46           1400686620  1401109440  422820      117.45         140940  1.878  56668872  9.00118e-05    0.000157435   45419448
20000  400000000   1.0      480592080   506418476   25855695  0       188           245          1412775950  1413448434  672484      186.801111111  672484  4.890  18600000  0.00064343     0.000838512   /
40000  1600000000  /        1922368320  1922368320  /         0       /             /            /           /           /           /              /       /      75937352  /              /             181726816
